Rule,Support,Confidence
# $ % ) / → 1,2081,0.9774542038515736
# $ % / → 1,2081,0.9774542038515736
# $ & ) / → 1,2081,0.9774542038515736
# $ & / → 1,2081,0.9774542038515736
# $ ) / → 1,2081,0.9774542038515736
# $ / → 1,2081,0.9774542038515736
$ % & ) / → 1,2081,0.9774542038515736
$ % & / → 1,2081,0.9774542038515736
$ % ) / → 1,2081,0.9774542038515736
$ % / → 1,2081,0.9774542038515736
$ & ) / → 1,2081,0.9774542038515736
$ & / → 1,2081,0.9774542038515736
$ ) / → 1,2081,0.9774542038515736
$ / → 1,2081,0.9774542038515736
# $ % & ( ) / → 1,2071,0.9773478055686645
# $ % & ( / → 1,2071,0.9773478055686645
# $ % ( ) / → 1,2071,0.9773478055686645
# $ % ( / → 1,2071,0.9773478055686645
# $ & ( ) / → 1,2071,0.9773478055686645
# $ & ( / → 1,2071,0.9773478055686645
# $ ( ) / → 1,2071,0.9773478055686645
# $ ( / → 1,2071,0.9773478055686645
$ % & ( ) / → 1,2071,0.9773478055686645
$ % & ( / → 1,2071,0.9773478055686645
$ % ( ) / → 1,2071,0.9773478055686645
$ % ( / → 1,2071,0.9773478055686645
$ & ( ) / → 1,2071,0.9773478055686645
$ & ( / → 1,2071,0.9773478055686645
$ ( ) / → 1,2071,0.9773478055686645
$ ( / → 1,2071,0.9773478055686645
# 0 → 1,4765,0.9752353663528449
# % 0 → 1,4765,0.9752353663528449
# % & 0 → 1,4765,0.9752353663528449
# % & ) 0 → 1,4765,0.9752353663528449
# % ) 0 → 1,4765,0.9752353663528449
# & 0 → 1,4765,0.9752353663528449
# & ) 0 → 1,4765,0.9752353663528449
# ) 0 → 1,4765,0.9752353663528449
% 0 → 1,4765,0.9752353663528449
% & 0 → 1,4765,0.9752353663528449
% & ) 0 → 1,4765,0.9752353663528449
% ) 0 → 1,4765,0.9752353663528449
& 0 → 1,4765,0.9752353663528449
& ) 0 → 1,4765,0.9752353663528449
) 0 → 1,4765,0.9752353663528449
0 → 1,4765,0.9752353663528449
# % & ( 0 → 1,4755,0.9751845775225595
# % & ( ) 0 → 1,4755,0.9751845775225595
# % ( 0 → 1,4755,0.9751845775225595
# % ( ) 0 → 1,4755,0.9751845775225595
# & ( 0 → 1,4755,0.9751845775225595
# & ( ) 0 → 1,4755,0.9751845775225595
# ( 0 → 1,4755,0.9751845775225595
# ( ) 0 → 1,4755,0.9751845775225595
% & ( 0 → 1,4755,0.9751845775225595
% & ( ) 0 → 1,4755,0.9751845775225595
% ( 0 → 1,4755,0.9751845775225595
% ( ) 0 → 1,4755,0.9751845775225595
& ( 0 → 1,4755,0.9751845775225595
& ( ) 0 → 1,4755,0.9751845775225595
( 0 → 1,4755,0.9751845775225595
( ) 0 → 1,4755,0.9751845775225595
# % & ) / 1 2 3 → 9,3007,0.9295208655332303
# % & / 1 2 3 → 9,3007,0.9295208655332303
# % ) / 1 2 3 → 9,3007,0.9295208655332303
# % / 1 2 3 → 9,3007,0.9295208655332303
# & ) / 1 2 3 → 9,3007,0.9295208655332303
# & / 1 2 3 → 9,3007,0.9295208655332303
# ) / 1 2 3 → 9,3007,0.9295208655332303
# / 1 2 3 → 9,3007,0.9295208655332303
% & ) / 1 2 3 → 9,3007,0.9295208655332303
% & / 1 2 3 → 9,3007,0.9295208655332303
% ) / 1 2 3 → 9,3007,0.9295208655332303
% / 1 2 3 → 9,3007,0.9295208655332303
& ) / 1 2 3 → 9,3007,0.9295208655332303
& / 1 2 3 → 9,3007,0.9295208655332303
) / 1 2 3 → 9,3007,0.9295208655332303
/ 1 2 3 → 9,3007,0.9295208655332303
# % & ( ) / 1 2 3 → 9,2997,0.9293023255813954
# % & ( / 1 2 3 → 9,2997,0.9293023255813954
# % ( ) / 1 2 3 → 9,2997,0.9293023255813954
# % ( / 1 2 3 → 9,2997,0.9293023255813954
# & ( ) / 1 2 3 → 9,2997,0.9293023255813954
# & ( / 1 2 3 → 9,2997,0.9293023255813954
# ( ) / 1 2 3 → 9,2997,0.9293023255813954
# ( / 1 2 3 → 9,2997,0.9293023255813954
% & ( ) / 1 2 3 → 9,2997,0.9293023255813954
% & ( / 1 2 3 → 9,2997,0.9293023255813954
% ( ) / 1 2 3 → 9,2997,0.9293023255813954
% ( / 1 2 3 → 9,2997,0.9293023255813954
& ( ) / 1 2 3 → 9,2997,0.9293023255813954
& ( / 1 2 3 → 9,2997,0.9293023255813954
( ) / 1 2 3 → 9,2997,0.9293023255813954
( / 1 2 3 → 9,2997,0.9293023255813954
# % 0 1 2 3 → 9,2720,0.9292791253843525
# % 0 2 3 → 9,2720,0.9292791253843525
# % & 0 1 2 3 → 9,2720,0.9292791253843525
# % & 0 2 3 → 9,2720,0.9292791253843525
# % & ) 0 1 2 3 → 9,2720,0.9292791253843525
# % & ) 0 2 3 → 9,2720,0.9292791253843525
# % ) 0 1 2 3 → 9,2720,0.9292791253843525
# % ) 0 2 3 → 9,2720,0.9292791253843525
# & 0 1 2 3 → 9,2720,0.9292791253843525
# & 0 2 3 → 9,2720,0.9292791253843525
# & ) 0 1 2 3 → 9,2720,0.9292791253843525
# & ) 0 2 3 → 9,2720,0.9292791253843525
# ) 0 1 2 3 → 9,2720,0.9292791253843525
# ) 0 2 3 → 9,2720,0.9292791253843525
# 0 1 2 3 → 9,2720,0.9292791253843525
# 0 2 3 → 9,2720,0.9292791253843525
% 0 1 2 3 → 9,2720,0.9292791253843525
% 0 2 3 → 9,2720,0.9292791253843525
% & 0 1 2 3 → 9,2720,0.9292791253843525
% & 0 2 3 → 9,2720,0.9292791253843525
% & ) 0 1 2 3 → 9,2720,0.9292791253843525
% & ) 0 2 3 → 9,2720,0.9292791253843525
% ) 0 1 2 3 → 9,2720,0.9292791253843525
% ) 0 2 3 → 9,2720,0.9292791253843525
& 0 1 2 3 → 9,2720,0.9292791253843525
& 0 2 3 → 9,2720,0.9292791253843525
& ) 0 1 2 3 → 9,2720,0.9292791253843525
& ) 0 2 3 → 9,2720,0.9292791253843525
) 0 1 2 3 → 9,2720,0.9292791253843525
) 0 2 3 → 9,2720,0.9292791253843525
0 1 2 3 → 9,2720,0.9292791253843525
0 2 3 → 9,2720,0.9292791253843525
# % & ) + 2 → 9,2126,0.9291958041958042
# % & + 2 → 9,2126,0.9291958041958042
# % ) + 2 → 9,2126,0.9291958041958042
# % + 2 → 9,2126,0.9291958041958042
# & ) + 2 → 9,2126,0.9291958041958042
# & + 2 → 9,2126,0.9291958041958042
# ) + 2 → 9,2126,0.9291958041958042
# + 2 → 9,2126,0.9291958041958042
% & ) + 2 → 9,2126,0.9291958041958042
% & + 2 → 9,2126,0.9291958041958042
% ) + 2 → 9,2126,0.9291958041958042
% + 2 → 9,2126,0.9291958041958042
& ) + 2 → 9,2126,0.9291958041958042
& + 2 → 9,2126,0.9291958041958042
) + 2 → 9,2126,0.9291958041958042
+ 2 → 9,2126,0.9291958041958042
# % & ) / 2 3 → 9,3038,0.9290519877675841
# % & / 2 3 → 9,3038,0.9290519877675841
# % ) / 2 3 → 9,3038,0.9290519877675841
# % / 2 3 → 9,3038,0.9290519877675841
# & ) / 2 3 → 9,3038,0.9290519877675841
# & / 2 3 → 9,3038,0.9290519877675841
# ) / 2 3 → 9,3038,0.9290519877675841
# / 2 3 → 9,3038,0.9290519877675841
% & ) / 2 3 → 9,3038,0.9290519877675841
% & / 2 3 → 9,3038,0.9290519877675841
% ) / 2 3 → 9,3038,0.9290519877675841
% / 2 3 → 9,3038,0.9290519877675841
& ) / 2 3 → 9,3038,0.9290519877675841
& / 2 3 → 9,3038,0.9290519877675841
) / 2 3 → 9,3038,0.9290519877675841
/ 2 3 → 9,3038,0.9290519877675841
# % & ( 0 1 2 3 → 9,2710,0.9290366815221117
# % & ( 0 2 3 → 9,2710,0.9290366815221117
# % & ( ) 0 1 2 3 → 9,2710,0.9290366815221117
# % & ( ) 0 2 3 → 9,2710,0.9290366815221117
# % ( 0 1 2 3 → 9,2710,0.9290366815221117
# % ( 0 2 3 → 9,2710,0.9290366815221117
# % ( ) 0 1 2 3 → 9,2710,0.9290366815221117
# % ( ) 0 2 3 → 9,2710,0.9290366815221117
# & ( 0 1 2 3 → 9,2710,0.9290366815221117
# & ( 0 2 3 → 9,2710,0.9290366815221117
# & ( ) 0 1 2 3 → 9,2710,0.9290366815221117
# & ( ) 0 2 3 → 9,2710,0.9290366815221117
# ( 0 1 2 3 → 9,2710,0.9290366815221117
# ( 0 2 3 → 9,2710,0.9290366815221117
# ( ) 0 1 2 3 → 9,2710,0.9290366815221117
# ( ) 0 2 3 → 9,2710,0.9290366815221117
% & ( 0 1 2 3 → 9,2710,0.9290366815221117
% & ( 0 2 3 → 9,2710,0.9290366815221117
% & ( ) 0 1 2 3 → 9,2710,0.9290366815221117
% & ( ) 0 2 3 → 9,2710,0.9290366815221117
% ( 0 1 2 3 → 9,2710,0.9290366815221117
% ( 0 2 3 → 9,2710,0.9290366815221117
% ( ) 0 1 2 3 → 9,2710,0.9290366815221117
% ( ) 0 2 3 → 9,2710,0.9290366815221117
& ( 0 1 2 3 → 9,2710,0.9290366815221117
& ( 0 2 3 → 9,2710,0.9290366815221117
& ( ) 0 1 2 3 → 9,2710,0.9290366815221117
& ( ) 0 2 3 → 9,2710,0.9290366815221117
( 0 1 2 3 → 9,2710,0.9290366815221117
( 0 2 3 → 9,2710,0.9290366815221117
( ) 0 1 2 3 → 9,2710,0.9290366815221117
( ) 0 2 3 → 9,2710,0.9290366815221117
# % & ) / 0 1 2 3 → 9,2708,0.9289879931389365
# % & ) / 0 2 3 → 9,2708,0.9289879931389365
# % & / 0 1 2 3 → 9,2708,0.9289879931389365
# % & / 0 2 3 → 9,2708,0.9289879931389365
# % ) / 0 1 2 3 → 9,2708,0.9289879931389365
# % ) / 0 2 3 → 9,2708,0.9289879931389365
# % / 0 1 2 3 → 9,2708,0.9289879931389365
# % / 0 2 3 → 9,2708,0.9289879931389365
# & ) / 0 1 2 3 → 9,2708,0.9289879931389365
# & ) / 0 2 3 → 9,2708,0.9289879931389365
# & / 0 1 2 3 → 9,2708,0.9289879931389365
# & / 0 2 3 → 9,2708,0.9289879931389365
# ) / 0 1 2 3 → 9,2708,0.9289879931389365
# ) / 0 2 3 → 9,2708,0.9289879931389365
# / 0 1 2 3 → 9,2708,0.9289879931389365
# / 0 2 3 → 9,2708,0.9289879931389365
% & ) / 0 1 2 3 → 9,2708,0.9289879931389365
% & ) / 0 2 3 → 9,2708,0.9289879931389365
% & / 0 1 2 3 → 9,2708,0.9289879931389365
% & / 0 2 3 → 9,2708,0.9289879931389365
% ) / 0 1 2 3 → 9,2708,0.9289879931389365
% ) / 0 2 3 → 9,2708,0.9289879931389365
% / 0 1 2 3 → 9,2708,0.9289879931389365
% / 0 2 3 → 9,2708,0.9289879931389365
& ) / 0 1 2 3 → 9,2708,0.9289879931389365
& ) / 0 2 3 → 9,2708,0.9289879931389365
& / 0 1 2 3 → 9,2708,0.9289879931389365
& / 0 2 3 → 9,2708,0.9289879931389365
) / 0 1 2 3 → 9,2708,0.9289879931389365
) / 0 2 3 → 9,2708,0.9289879931389365
/ 0 1 2 3 → 9,2708,0.9289879931389365
/ 0 2 3 → 9,2708,0.9289879931389365
# % & ( ) / 2 3 → 9,3028,0.9288343558282208
# % & ( / 2 3 → 9,3028,0.9288343558282208
# % ( ) / 2 3 → 9,3028,0.9288343558282208
# % ( / 2 3 → 9,3028,0.9288343558282208
# & ( ) / 2 3 → 9,3028,0.9288343558282208
# & ( / 2 3 → 9,3028,0.9288343558282208
# ( ) / 2 3 → 9,3028,0.9288343558282208
# ( / 2 3 → 9,3028,0.9288343558282208
% & ( ) / 2 3 → 9,3028,0.9288343558282208
% & ( / 2 3 → 9,3028,0.9288343558282208
% ( ) / 2 3 → 9,3028,0.9288343558282208
% ( / 2 3 → 9,3028,0.9288343558282208
& ( ) / 2 3 → 9,3028,0.9288343558282208
& ( / 2 3 → 9,3028,0.9288343558282208
( ) / 2 3 → 9,3028,0.9288343558282208
( / 2 3 → 9,3028,0.9288343558282208
# % & ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
# % & ( ) / 0 2 3 → 9,2698,0.9287435456110155
# % & ( / 0 1 2 3 → 9,2698,0.9287435456110155
# % & ( / 0 2 3 → 9,2698,0.9287435456110155
# % ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
# % ( ) / 0 2 3 → 9,2698,0.9287435456110155
# % ( / 0 1 2 3 → 9,2698,0.9287435456110155
# % ( / 0 2 3 → 9,2698,0.9287435456110155
# & ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
# & ( ) / 0 2 3 → 9,2698,0.9287435456110155
# & ( / 0 1 2 3 → 9,2698,0.9287435456110155
# & ( / 0 2 3 → 9,2698,0.9287435456110155
# ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
# ( ) / 0 2 3 → 9,2698,0.9287435456110155
# ( / 0 1 2 3 → 9,2698,0.9287435456110155
# ( / 0 2 3 → 9,2698,0.9287435456110155
% & ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
% & ( ) / 0 2 3 → 9,2698,0.9287435456110155
% & ( / 0 1 2 3 → 9,2698,0.9287435456110155
% & ( / 0 2 3 → 9,2698,0.9287435456110155
% ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
% ( ) / 0 2 3 → 9,2698,0.9287435456110155
% ( / 0 1 2 3 → 9,2698,0.9287435456110155
% ( / 0 2 3 → 9,2698,0.9287435456110155
& ( ) / 0 1 2 3 → 9,2698,0.9287435456110155
& ( ) / 0 2 3 → 9,2698,0.9287435456110155
& ( / 0 1 2 3 → 9,2698,0.9287435456110155
& ( / 0 2 3 → 9,2698,0.9287435456110155
( ) / 0 1 2 3 → 9,2698,0.9287435456110155
( ) / 0 2 3 → 9,2698,0.9287435456110155
( / 0 1 2 3 → 9,2698,0.9287435456110155
( / 0 2 3 → 9,2698,0.9287435456110155
# % & ( ) + 2 → 9,2085,0.9279038718291055
# % & ( + 2 → 9,2085,0.9279038718291055
# % ( ) + 2 → 9,2085,0.9279038718291055
# % ( + 2 → 9,2085,0.9279038718291055
# & ( ) + 2 → 9,2085,0.9279038718291055
# & ( + 2 → 9,2085,0.9279038718291055
# ( ) + 2 → 9,2085,0.9279038718291055
# ( + 2 → 9,2085,0.9279038718291055
% & ( ) + 2 → 9,2085,0.9279038718291055
% & ( + 2 → 9,2085,0.9279038718291055
% ( ) + 2 → 9,2085,0.9279038718291055
% ( + 2 → 9,2085,0.9279038718291055
& ( ) + 2 → 9,2085,0.9279038718291055
& ( + 2 → 9,2085,0.9279038718291055
( ) + 2 → 9,2085,0.9279038718291055
( + 2 → 9,2085,0.9279038718291055
# % & ) 0 3 → <,3888,0.9224199288256227
# % & 0 3 → <,3888,0.9224199288256227
# % ) 0 3 → <,3888,0.9224199288256227
# % 0 3 → <,3888,0.9224199288256227
# & ) 0 3 → <,3888,0.9224199288256227
# & 0 3 → <,3888,0.9224199288256227
# ) 0 3 → <,3888,0.9224199288256227
# 0 3 → <,3888,0.9224199288256227
% & ) 0 3 → <,3888,0.9224199288256227
% & 0 3 → <,3888,0.9224199288256227
% ) 0 3 → <,3888,0.9224199288256227
% 0 3 → <,3888,0.9224199288256227
& ) 0 3 → <,3888,0.9224199288256227
& 0 3 → <,3888,0.9224199288256227
) 0 3 → <,3888,0.9224199288256227
0 3 → <,3888,0.9224199288256227
# % & ( ) 0 3 → <,3878,0.9222354340071344
# % & ( 0 3 → <,3878,0.9222354340071344
# % ( ) 0 3 → <,3878,0.9222354340071344
# % ( 0 3 → <,3878,0.9222354340071344
# & ( ) 0 3 → <,3878,0.9222354340071344
# & ( 0 3 → <,3878,0.9222354340071344
# ( ) 0 3 → <,3878,0.9222354340071344
# ( 0 3 → <,3878,0.9222354340071344
% & ( ) 0 3 → <,3878,0.9222354340071344
% & ( 0 3 → <,3878,0.9222354340071344
% ( ) 0 3 → <,3878,0.9222354340071344
% ( 0 3 → <,3878,0.9222354340071344
& ( ) 0 3 → <,3878,0.9222354340071344
& ( 0 3 → <,3878,0.9222354340071344
( ) 0 3 → <,3878,0.9222354340071344
( 0 3 → <,3878,0.9222354340071344
# % & ) 0 1 3 → <,3844,0.9216015344042197
# % & 0 1 3 → <,3844,0.9216015344042197
# % ) 0 1 3 → <,3844,0.9216015344042197
# % 0 1 3 → <,3844,0.9216015344042197
# & ) 0 1 3 → <,3844,0.9216015344042197
# & 0 1 3 → <,3844,0.9216015344042197
# ) 0 1 3 → <,3844,0.9216015344042197
# 0 1 3 → <,3844,0.9216015344042197
% & ) 0 1 3 → <,3844,0.9216015344042197
% & 0 1 3 → <,3844,0.9216015344042197
% ) 0 1 3 → <,3844,0.9216015344042197
% 0 1 3 → <,3844,0.9216015344042197
& ) 0 1 3 → <,3844,0.9216015344042197
& 0 1 3 → <,3844,0.9216015344042197
) 0 1 3 → <,3844,0.9216015344042197
0 1 3 → <,3844,0.9216015344042197
# % & ) / 0 3 → <,3843,0.9215827338129496
# % & / 0 3 → <,3843,0.9215827338129496
# % ) / 0 3 → <,3843,0.9215827338129496
# % / 0 3 → <,3843,0.9215827338129496
# & ) / 0 3 → <,3843,0.9215827338129496
# & / 0 3 → <,3843,0.9215827338129496
# ) / 0 3 → <,3843,0.9215827338129496
# / 0 3 → <,3843,0.9215827338129496
% & ) / 0 3 → <,3843,0.9215827338129496
% & / 0 3 → <,3843,0.9215827338129496
% ) / 0 3 → <,3843,0.9215827338129496
% / 0 3 → <,3843,0.9215827338129496
& ) / 0 3 → <,3843,0.9215827338129496
& / 0 3 → <,3843,0.9215827338129496
) / 0 3 → <,3843,0.9215827338129496
/ 0 3 → <,3843,0.9215827338129496
# % & ( ) 0 1 3 → <,3834,0.9214131218457101
# % & ( 0 1 3 → <,3834,0.9214131218457101
# % ( ) 0 1 3 → <,3834,0.9214131218457101
# % ( 0 1 3 → <,3834,0.9214131218457101
# & ( ) 0 1 3 → <,3834,0.9214131218457101
# & ( 0 1 3 → <,3834,0.9214131218457101
# ( ) 0 1 3 → <,3834,0.9214131218457101
# ( 0 1 3 → <,3834,0.9214131218457101
% & ( ) 0 1 3 → <,3834,0.9214131218457101
% & ( 0 1 3 → <,3834,0.9214131218457101
% ( ) 0 1 3 → <,3834,0.9214131218457101
% ( 0 1 3 → <,3834,0.9214131218457101
& ( ) 0 1 3 → <,3834,0.9214131218457101
& ( 0 1 3 → <,3834,0.9214131218457101
( ) 0 1 3 → <,3834,0.9214131218457101
( 0 1 3 → <,3834,0.9214131218457101
# % & ( ) / 0 3 → <,3833,0.9213942307692308
# % & ( / 0 3 → <,3833,0.9213942307692308
# % ( ) / 0 3 → <,3833,0.9213942307692308
# % ( / 0 3 → <,3833,0.9213942307692308
# & ( ) / 0 3 → <,3833,0.9213942307692308
# & ( / 0 3 → <,3833,0.9213942307692308
# ( ) / 0 3 → <,3833,0.9213942307692308
# ( / 0 3 → <,3833,0.9213942307692308
% & ( ) / 0 3 → <,3833,0.9213942307692308
% & ( / 0 3 → <,3833,0.9213942307692308
% ( ) / 0 3 → <,3833,0.9213942307692308
% ( / 0 3 → <,3833,0.9213942307692308
& ( ) / 0 3 → <,3833,0.9213942307692308
& ( / 0 3 → <,3833,0.9213942307692308
( ) / 0 3 → <,3833,0.9213942307692308
( / 0 3 → <,3833,0.9213942307692308
# % & ) / 0 → <,4294,0.9212615318601158
# % & / 0 → <,4294,0.9212615318601158
# % ) / 0 → <,4294,0.9212615318601158
# % / 0 → <,4294,0.9212615318601158
# & ) / 0 → <,4294,0.9212615318601158
# & / 0 → <,4294,0.9212615318601158
# ) / 0 → <,4294,0.9212615318601158
# / 0 → <,4294,0.9212615318601158
% & ) / 0 → <,4294,0.9212615318601158
% & / 0 → <,4294,0.9212615318601158
% ) / 0 → <,4294,0.9212615318601158
% / 0 → <,4294,0.9212615318601158
& ) / 0 → <,4294,0.9212615318601158
& / 0 → <,4294,0.9212615318601158
) / 0 → <,4294,0.9212615318601158
/ 0 → <,4294,0.9212615318601158
# % 1 2 3 → 9,3297,0.9212070410729254
# % & 1 2 3 → 9,3297,0.9212070410729254
# % & ) 1 2 3 → 9,3297,0.9212070410729254
# % ) 1 2 3 → 9,3297,0.9212070410729254
# & 1 2 3 → 9,3297,0.9212070410729254
# & ) 1 2 3 → 9,3297,0.9212070410729254
# ) 1 2 3 → 9,3297,0.9212070410729254
# 1 2 3 → 9,3297,0.9212070410729254
% 1 2 3 → 9,3297,0.9212070410729254
% & 1 2 3 → 9,3297,0.9212070410729254
% & ) 1 2 3 → 9,3297,0.9212070410729254
% ) 1 2 3 → 9,3297,0.9212070410729254
& 1 2 3 → 9,3297,0.9212070410729254
& ) 1 2 3 → 9,3297,0.9212070410729254
) 1 2 3 → 9,3297,0.9212070410729254
1 2 3 → 9,3297,0.9212070410729254
# % & ( ) / 0 → <,4284,0.921092238228338
# % & ( / 0 → <,4284,0.921092238228338
# % ( ) / 0 → <,4284,0.921092238228338
# % ( / 0 → <,4284,0.921092238228338
# & ( ) / 0 → <,4284,0.921092238228338
# & ( / 0 → <,4284,0.921092238228338
# ( ) / 0 → <,4284,0.921092238228338
# ( / 0 → <,4284,0.921092238228338
% & ( ) / 0 → <,4284,0.921092238228338
% & ( / 0 → <,4284,0.921092238228338
% ( ) / 0 → <,4284,0.921092238228338
% ( / 0 → <,4284,0.921092238228338
& ( ) / 0 → <,4284,0.921092238228338
& ( / 0 → <,4284,0.921092238228338
( ) / 0 → <,4284,0.921092238228338
( / 0 → <,4284,0.921092238228338
# % & ( 1 2 3 → 9,3287,0.9209862706640516
# % & ( ) 1 2 3 → 9,3287,0.9209862706640516
# % ( 1 2 3 → 9,3287,0.9209862706640516
# % ( ) 1 2 3 → 9,3287,0.9209862706640516
# & ( 1 2 3 → 9,3287,0.9209862706640516
# & ( ) 1 2 3 → 9,3287,0.9209862706640516
# ( 1 2 3 → 9,3287,0.9209862706640516
# ( ) 1 2 3 → 9,3287,0.9209862706640516
% & ( 1 2 3 → 9,3287,0.9209862706640516
% & ( ) 1 2 3 → 9,3287,0.9209862706640516
% ( 1 2 3 → 9,3287,0.9209862706640516
% ( ) 1 2 3 → 9,3287,0.9209862706640516
& ( 1 2 3 → 9,3287,0.9209862706640516
& ( ) 1 2 3 → 9,3287,0.9209862706640516
( 1 2 3 → 9,3287,0.9209862706640516
( ) 1 2 3 → 9,3287,0.9209862706640516
# % & ) / 0 1 3 → <,3799,0.9207464857004363
# % & / 0 1 3 → <,3799,0.9207464857004363
# % ) / 0 1 3 → <,3799,0.9207464857004363
# % / 0 1 3 → <,3799,0.9207464857004363
# & ) / 0 1 3 → <,3799,0.9207464857004363
# & / 0 1 3 → <,3799,0.9207464857004363
# ) / 0 1 3 → <,3799,0.9207464857004363
